customer_id,full_name,email,phone,national_id,age,gender,region,marital_status,education_level,employment_status,housing_status,annual_income,savings_balance,checking_balance,loan_amount,loan_duration_months,existing_credits,past_due_count,credit_history_score,debt_ratio,loan_purpose,consent_flag,application_date,credit_risk
CUST-000001,Boubacar Ba,boubacar.ba1@example-bank.test,+222-47-892243,9153034861,44,M,Nouakchott,single,bachelor,public_sector,own,34881.4,12173.89,2860.92,15595.35,24,1,0,682,0.512,business,TRUE,2025-08-14,good
CUST-000002,Mariam Ahmed,mariam.ahmed2@example-bank.test,+222-35-128419,8418245412,35,M,Adrar,married,secondary,self_employed,rent,39776.1,6337.15,-1500.0,20896.17,24,0,0,594,0.693,housing,TRUE,2025-04-19,good
CUST-000003,Khadijetou Sow,khadijetou.sow3@example-bank.test,+222-39-528873,4186896021,28,F,Nouakchott,married,bachelor,self_employed,rent,39549.51,13880.24,-569.65,2648.59,36,0,0,642,0.283,health,TRUE,2025-07-08,good
CUST-000004,Ahmed Mokhtar,ahmed.mokhtar4@example-bank.test,+222-39-501484,1437200349,47,F,Nouadhibou,divorced,primary,self_employed,rent,12653.39,4220.56,2603.76,11843.57,24,1,1,521,1.043,car,TRUE,2025-05-22,bad
CUST-000005,Fatimata Mint,fatimata.mint5@example-bank.test,+222-34-223152,9194744247,45,M,Gorgol,married,secondary,student,own,4292.44,951.27,391.33,8634.87,12,1,1,669,1.8,education,TRUE,2025-12-30,bad
CUST-000006,Fatimata Sow,fatimata.sow6@example-bank.test,+222-24-665876,5515356921,35,M,Adrar,married,primary,self_employed,family,13245.94,3045.29,1813.69,6981.49,60,2,0,535,0.497,car,TRUE,2025-06-06,bad
CUST-000007,Khadijetou Diallo,khadijetou.diallo7@example-bank.test,+222-25-639606,4108912576,37,F,Inchiri,married,master,self_employed,own,101637.52,12172.99,16957.5,10236.17,24,1,0,556,0.221,business,TRUE,2025-11-04,good
CUST-000008,Noura Kane,noura.kane8@example-bank.test,+222-42-251715,9396608597,31,M,Nouakchott,single,master,retired,own,26421.95,5762.13,2749.58,11608.92,24,0,0,482,0.603,education,TRUE,2025-12-24,bad
CUST-000009,Fatimata Kane,fatimata.kane9@example-bank.test,+222-31-916924,4160877187,42,M,Guidimakha,widowed,bachelor,retired,family,42171.93,15333.09,-1500.0,25237.09,36,0,2,496,0.793,housing,TRUE,2025-03-12,bad
CUST-000010,Mintou Ould,mintou.ould10@example-bank.test,+222-48-521326,1215847004,47,M,Nouakchott,married,primary,retired,family,27748.75,6088.54,-1199.18,12062.03,6,0,0,526,0.532,business,FALSE,2025-04-03,good
CUST-000011,Mohamed Ould,mohamed.ould11@example-bank.test,+222-27-402985,5970915359,25,F,Nouadhibou,married,secondary,public_sector,own,22794.79,6774.56,1013.24,4916.18,24,0,0,578,0.367,business,FALSE,2025-08-06,bad
CUST-000012,Yahya Mint,yahya.mint12@example-bank.test,+222-42-206390,7666001965,62,F,Trarza,married,secondary,public_sector,own,19419.29,6542.85,2003.49,17591.42,36,0,0,580,1.173,car,TRUE,2025-05-21,good
CUST-000013,Ahmed Diallo,ahmed.diallo13@example-bank.test,+222-36-288698,2169343995,28,M,Nouakchott,married,primary,retired,family,12073.75,985.96,870.6,3752.76,18,0,1,523,0.36,health,TRUE,2025-10-12,bad
CUST-000014,Cheikh Ahmed,cheikh.ahmed14@example-bank.test,+222-42-611028,9491076974,38,M,Gorgol,married,bachelor,self_employed,rent,20780.63,1013.47,3931.2,7748.2,12,0,0,564,0.587,car,TRUE,2025-06-22,bad
CUST-000015,Boubacar Fall,boubacar.fall15@example-bank.test,+222-34-663947,3893157721,42,F,Brakna,married,primary,retired,own,12651.09,2586.2,-172.72,5746.29,24,1,0,589,0.535,housing,TRUE,2025-07-16,good
CUST-000016,Noura Ould,noura.ould16@example-bank.test,+222-22-860399,3671523775,33,F,Hodh El Gharbi,single,secondary,retired,family,33613.47,0.0,5264.38,12405.55,6,0,0,535,0.596,business,TRUE,2025-07-13,bad
CUST-000017,Noura Fall,noura.fall17@example-bank.test,+222-34-922062,4891988824,28,M,Gorgol,married,bachelor,unemployed,family,7766.4,2462.69,55.23,8439.84,48,1,1,552,1.14,business,TRUE,2025-10-25,bad
CUST-000018,Ahmed Fall,ahmed.fall18@example-bank.test,+222-26-585217,1185513861,29,F,Assaba,married,secondary,public_sector,rent,75380.42,0.0,4510.56,14427.38,24,0,0,657,0.132,health,TRUE,2025-02-24,good
CUST-000019,Yahya Diallo,yahya.diallo19@example-bank.test,+222-21-859732,1479203883,39,M,Nouadhibou,married,primary,self_employed,own,25167.67,5283.07,-1500.0,7594.29,36,0,0,747,0.388,car,TRUE,2025-09-30,good
CUST-000020,Yahya Ba,yahya.ba20@example-bank.test,+222-26-436759,4102649769,35,F,Nouakchott,married,master,public_sector,rent,33383.4,0.0,6261.59,14651.58,60,0,0,503,0.608,education,TRUE,2025-01-08,bad
CUST-000021,Noura Ould,noura.ould21@example-bank.test,+222-23-263541,7784078239,28,M,Nouakchott,married,bachelor,public_sector,rent,41338.53,9515.4,1761.55,34870.5,12,1,2,460,0.976,business,TRUE,2025-12-18,bad
